frequency_hz,magnitude,label
0.0,0.00042469917436061954,healthy
0.78125,0.0007913716232650252,healthy
1.5625,0.0037024930690773682,healthy
2.34375,0.003378682330230229,healthy
3.125,0.0026876766716170965,healthy
3.90625,0.002506181723971084,healthy
4.6875,0.0018905271232790095,healthy
5.46875,0.003123295615996709,healthy
6.25,0.0030191380234200343,healthy
7.03125,0.0015224233433514447,healthy
7.8125,0.0009138769859398778,healthy
8.59375,0.0010170293376666152,healthy
9.375,0.0012541018739177542,healthy
10.15625,0.0027373801833257255,healthy
10.9375,0.0006774310270641387,healthy
11.71875,0.0007918435759172248,healthy
12.5,0.0032487727330995984,healthy
13.28125,0.002405054145285405,healthy
14.0625,0.003059501936118247,healthy
14.84375,0.003456049941577335,healthy
15.625,0.002701487021774026,healthy
16.40625,0.002872818515513281,healthy
17.1875,0.0032284475082303044,healthy
17.96875,0.002537018009321181,healthy
18.75,0.0018358067840990827,healthy
19.53125,0.0028648773646641683,healthy
20.3125,0.004596667008015754,healthy
21.09375,0.006467329159328324,healthy
21.875,0.0056182599637054674,healthy
22.65625,0.0035322467040909697,healthy
23.4375,0.00023899562216051092,healthy
24.21875,0.0027672123996503673,healthy
25.0,0.0012485413720678812,healthy
25.78125,0.0012467010159645275,healthy
26.5625,0.0008475783125065721,healthy
27.34375,0.0039456275171149335,healthy
28.125,0.006144863971208966,healthy
28.90625,0.0042487458295455225,healthy
29.6875,0.0016340137308045377,healthy
30.46875,0.003771253983370173,healthy
31.25,0.004099008476137246,healthy
32.03125,0.0027603520879373976,healthy
32.8125,0.0032736874965502236,healthy
33.59375,0.001539628866406671,healthy
34.375,0.0015241341492435352,healthy
35.15625,0.0037979684409060453,healthy
35.9375,0.0022699846022325295,healthy
36.71875,0.0009807369281098312,healthy
37.5,0.0018681779133878388,healthy
38.28125,0.0036487278811579696,healthy
39.0625,0.004137224730150683,healthy
39.84375,0.0022409648666121464,healthy
40.625,0.0003104572474969385,healthy
41.40625,0.0011888614353929568,healthy
42.1875,0.004336065781713521,healthy
42.96875,0.004421640234212414,healthy
43.75,0.001456713864670685,healthy
44.53125,0.00023692078120804753,healthy
45.3125,0.0006237588532173673,healthy
46.09375,0.003107119643627519,healthy
46.875,0.0010432705670198287,healthy
47.65625,0.0033238740132112395,healthy
48.4375,0.0021690114703713176,healthy
49.21875,0.0011657902861903248,healthy
50.0,0.0007529733293394211,healthy
50.78125,0.004314341997165489,healthy
51.5625,0.013031704925612576,healthy
52.34375,0.012799541246566879,healthy
53.125,0.0037905867741617576,healthy
53.90625,0.0016313280508945707,healthy
54.6875,0.0020866736982611744,healthy
55.46875,0.0029941272859526254,healthy
56.25,0.003826578838243523,healthy
57.03125,0.002657461238907145,healthy
57.8125,0.001090308389886274,healthy
58.59375,0.001325996973135665,healthy
59.375,0.0022524057626717854,healthy
60.15625,0.0022967721807282534,healthy
60.9375,0.0015144207883574104,healthy
61.71875,0.002192951239623498,healthy
62.5,0.0016132420812142545,healthy
63.28125,0.0028081902984316834,healthy
64.0625,0.003585023519940843,healthy
64.84375,0.0031073132226350554,healthy
65.625,0.0035509647025889304,healthy
66.40625,0.0026847741765706873,healthy
67.1875,0.002679768769385195,healthy
67.96875,0.004114983749918086,healthy
68.75,0.0018885428605772212,healthy
69.53125,0.003268796433871878,healthy
70.3125,0.004087693746236978,healthy
71.09375,0.0022036387633800614,healthy
71.875,0.0013164800533392227,healthy
72.65625,0.0008145305512382153,healthy
73.4375,0.0007197439838909734,healthy
74.21875,0.0031055376529330954,healthy
75.0,0.0041831109096194695,healthy
75.78125,0.0019050423704834063,healthy
76.5625,0.002224616476280776,healthy
77.34375,0.00418672701715716,healthy
78.125,0.0018498874856886192,healthy
78.90625,0.0019807781125858997,healthy
79.6875,0.0016055999989994722,healthy
80.46875,0.003968069673074872,healthy
81.25,0.004402120371347142,healthy
82.03125,0.004558720468893201,healthy
82.8125,0.005632170229372028,healthy
83.59375,0.003804489204565507,healthy
84.375,0.001979509477501303,healthy
85.15625,0.003483741390522204,healthy
85.9375,0.004628631441479482,healthy
86.71875,0.003460598251635733,healthy
87.5,0.0015301066770716037,healthy
88.28125,0.0018038579599642974,healthy
89.0625,0.003190607094078929,healthy
89.84375,0.002248563133543562,healthy
90.625,0.0019168878291459985,healthy
91.40625,0.0026039770017878766,healthy
92.1875,0.004750925029272311,healthy
92.96875,0.004905138768258957,healthy
93.75,0.003899629905383945,healthy
94.53125,0.0035271255494562738,healthy
95.3125,0.002423902832679082,healthy
96.09375,0.0008559430669176718,healthy
96.875,0.0011695689315071164,healthy
97.65625,0.0011607315172436862,healthy
98.4375,0.0027972441783309715,healthy
99.21875,0.002946679974478993,healthy
100.0,0.0005076255884259956,healthy
