RMS_X,RMS_Y,RMS_Z,Band_Power_Z_Low,Band_Power_Z_Mid,Band_Power_Z_High,label
0.24106885083757265,0.029993676287356514,0.0607905372652907,7.678460369456411e-05,5.743013155737303e-05,1.7968399533091728e-06,healthy
0.032221053641812464,0.009966253503319885,0.07272186574241113,0.00017190879915482315,5.437699440761288e-05,9.423442767073783e-07,healthy
0.012644960527521143,0.008848864060014278,0.06203862090996659,2.8561590192345428e-05,5.91859895204047e-05,6.825170344802668e-07,healthy
0.01048621538580728,0.008769182082191424,0.05994486858986679,5.419316154773973e-06,5.606801074331322e-05,7.727226399447245e-07,healthy
0.00991941774976002,0.008749646883486678,0.06024178877687925,5.380056771611255e-06,5.3641614909909826e-05,7.174956051574119e-07,healthy
0.009457347165187537,0.00880403648381868,0.060149735570333804,5.215772919026178e-06,5.0499588694095776e-05,1.6995821864231209e-06,healthy
0.009461131861712525,0.009225767633709737,0.06085332481132367,1.6876416398805945e-05,5.4118729939825285e-05,1.0456297623188625e-06,healthy
0.009365991707213934,0.00880955321590862,0.05926083290309831,7.375515575480135e-06,5.5087781502319567e-05,8.093548621860393e-07,healthy
0.009337111082788127,0.010835693063071677,0.05901108027961777,1.821311264839147e-06,5.387044342988533e-05,7.117282604203753e-07,healthy
0.010162694303346355,0.008898988544255122,0.06227383554979983,2.377365962074273e-05,5.387278903492117e-05,1.4199263284581563e-06,healthy
0.009600783222063888,0.009257675210851524,0.060396713041079395,1.4524083827425036e-06,5.1902371831746795e-05,6.312026786066603e-07,healthy
0.009981081862927151,0.010302623537855438,0.062160708655494334,2.891029694493507e-05,4.965190112426648e-05,8.72557675452631e-07,healthy
0.009300043565805554,0.009208455548207883,0.059414896847202726,1.6980520356097126e-05,5.356666500399905e-05,1.01683282335576e-06,healthy
0.009445212320955918,0.009405671311786068,0.058206352878624,4.014369265330872e-06,5.1992748056946946e-05,2.219040310041571e-06,healthy
0.009416568338922014,0.008889070603347047,0.05851400544467476,8.19708712020906e-07,5.155773669025639e-05,5.820887123025528e-07,healthy
0.010607530576316979,0.008912603524927539,0.06171206176760515,3.80661553916245e-05,4.9553833904793035e-05,1.3302735859593396e-06,healthy
0.009223042783570756,0.009149260632885438,0.05884914215072425,1.4530147783639508e-05,5.237986204079774e-05,1.0098728595453482e-06,healthy
0.010452132807866088,0.008775300645620309,0.06421438001362073,6.882291174568081e-05,5.2643151145978976e-05,7.865427218224445e-07,healthy
0.009037738174846462,0.008960813161870628,0.05648856465116707,2.557430203293221e-06,5.286671859946948e-05,9.92957025871283e-07,healthy
0.008999202082391014,0.008992886379486014,0.05628785403732102,2.4411692626801987e-07,5.2338153211020205e-05,1.0635442485703806e-06,healthy
0.009267630323786153,0.009149535602760269,0.06749453301794614,9.866081313368775e-05,5.318591611666033e-05,7.395011481442793e-07,healthy
0.009342633660877748,0.009725396738216919,0.06248090549269376,4.68204496357943e-05,5.032093174594678e-05,8.043050377989284e-07,healthy
0.009461648826130941,0.008632408551157177,0.058330634745745666,6.226973131148564e-06,5.157693111045281e-05,7.952219499413527e-07,healthy
0.00935374655017814,0.009317238822584834,0.058314272236428884,4.739494448781611e-06,4.987592004353774e-05,7.818978131805139e-07,healthy
0.009815115207198088,0.009818587729260572,0.059819853359455735,2.2946993665945865e-05,4.936892967247074e-05,6.150636263758815e-07,healthy
0.00951128272433089,0.008557906012950521,0.06364084126926095,6.0442613420105064e-05,4.902633536416071e-05,5.710873972872485e-07,healthy
0.009524734373092812,0.009600547951810187,0.060293703897757754,2.3347904765156176e-05,5.145909936256395e-05,8.177658388906895e-07,healthy
0.009993390459345728,0.008455477390535019,0.061524373724398965,8.521453176529275e-06,4.7907279202131996e-05,1.082482845689858e-06,healthy
